Mine,Latitude,Longitude,Blue_B02,Green_B03,Red_B04,NIR_B08,SWIR1_B11,SWIR2_B12,NDVI,Distance_to_Manganese_km,Manganese_Presence,Lithology,GLiM_ID,Elevation_mean_m,Elevation_min_m,Elevation_max_m,Slope_mean_degrees,Slope_min_degrees,Slope_max_degrees,LST_mean_C,LST_min_C,LST_max_C
Tirodi,21.68289739874773,79.75008160655442,0.1468,0.159,0.1702,0.2823,0.3453,0.2608,0.2477348,0.0306511442454961,1,Metamorphics,IND2497,332.8147,267.0,394.2552,3.3864262,0.0,33.8153,32.758785,31.669237,33.732647
Balaghat,21.853403549149668,80.24948281833949,0.2194,0.2536,0.3048,0.426,0.537,0.4535,0.16584563,0.4462475621278361,1,Metamorphics,IND2497,315.88818,295.6509,563.0416,3.3144548,0.0,41.898067,31.532078,30.486078,32.70804
Tirodi,21.66320257336849,79.70270665749305,0.1662,0.181,0.2014,0.2773,0.3826,0.3136,0.15855443,5.383001464609472,0,Metamorphics,IND2497,332.8147,267.0,394.2552,3.3864262,0.0,33.8153,32.758785,31.669237,33.732647
Gumgaon,21.39669627158587,78.98692913890106,0.1594,0.1899,0.2152,0.321,0.3285,0.2831,0.19731443,0.4601526865867772,1,Metamorphics,IND2497,308.76245,295.0,335.6139,2.549382,0.043339998,24.080704,35.68411,34.714085,36.529636
Munsar,21.3850315111112,79.30415671141775,0.151,0.1648,0.1586,0.2945,0.2926,0.2183,0.29993376,3.671295495254751,0,Metamorphics,IND2497,330.61935,298.43054,426.02664,2.7755353,0.0,43.054794,34.265858,32.686935,35.39038
Beldongri,21.332587622492674,79.31652156129593,0.1626,0.1939,0.1968,0.3968,0.3071,0.2229,0.33692724,2.5184385676879857,0,Metamorphics,IND2497,299.1285,251.15112,315.94476,1.0450696,0.0,37.204727,34.04583,33.437935,34.728897
Tirodi,21.676889557778004,79.72036676173191,0.18,0.2044,0.2404,0.3359,0.4289,0.3484,0.16571231,3.166626241029249,0,Metamorphics,IND2497,332.8147,267.0,394.2552,3.3864262,0.0,33.8153,32.758785,31.669237,33.732647
Balaghat,21.85156400873673,80.2423312123625,0.2208,0.2908,0.3524,0.4195,0.5349,0.4583,0.086928345,0.2351912691094191,1,Metamorphics,IND2497,315.88818,295.6509,563.0416,3.3144548,0.0,41.898067,31.532078,30.486078,32.70804
Kandri,21.397551802401765,79.25675410567447,0.2007,0.226,0.2338,0.3288,0.3864,0.317,0.16885886,0.4321772603153397,1,Metamorphics,IND2497,338.3795,298.43054,426.02664,3.4002244,0.0,43.054794,34.156246,32.113777,35.585854
Chikla,21.53119470972591,79.75794962277172,0.145,0.1624,0.1396,0.4123,0.2576,0.1698,0.4941113,6.295596552511071,0,Metamorphics,IND2480,324.12485,288.91412,468.7117,3.8145928,0.0,36.321957,32.102837,29.184732,33.749233
Balaghat,21.831098979820567,80.2319890556008,0.1752,0.1963,0.2306,0.3062,0.3617,0.3029,0.14083457,0.2566717600258534,1,Metamorphics,IND2497,315.88818,295.6509,563.0416,3.3144548,0.0,41.898067,31.532078,30.486078,32.70804
Munsar,21.398460920439465,79.25732199702207,0.149,0.171,0.1644,0.3866,0.3093,0.2118,0.4032668,0.3354582683186744,1,Metamorphics,IND2497,330.61935,298.43054,426.02664,2.7755353,0.0,43.054794,34.265858,32.686935,35.39038
Kandri,21.43416534538817,79.25130317253537,0.1586,0.1759,0.1704,0.4561,0.3733,0.2595,0.4560255,3.9659072349769846,0,Metamorphics,IND2497,338.3795,298.43054,426.02664,3.4002244,0.0,43.054794,34.156246,32.113777,35.585854
Sitapatore,21.67834906060357,79.65366909747038,0.1415,0.1511,0.1476,0.3077,0.2788,0.1996,0.35163632,10.002060872625565,0,Metamorphics,IND2497,330.57553,308.20984,387.75015,3.0461476,0.0,33.174393,31.900742,31.206608,32.967358
Tirodi,21.68953825011005,79.72064167796499,0.1639,0.177,0.2011,0.2499,0.3402,0.2982,0.10820397,3.160253573066522,0,Metamorphics,IND2497,332.8147,267.0,394.2552,3.3864262,0.0,33.8153,32.758785,31.669237,33.732647
Gumgaon,21.388027561729032,78.95715556304914,0.1922,0.2264,0.3002,0.3806,0.3745,0.3132,0.1180964,3.0275209411241337,0,Metamorphics,IND2497,308.76245,295.0,335.6139,2.549382,0.043339998,24.080704,35.68411,34.714085,36.529636
Balaghat,21.846369372917355,80.25222910586857,0.1964,0.2388,0.2938,0.3863,0.464,0.3893,0.13600942,0.3960845749764562,1,Metamorphics,IND2497,315.88818,295.6509,563.0416,3.3144548,0.0,41.898067,31.532078,30.486078,32.70804
Ukwa,21.967409018340952,80.48210784136784,0.1584,0.1752,0.1978,0.3347,0.4382,0.3689,0.2570892,0.2141179975922875,1,Acid plutonic rocks,IND2479,628.92834,594.1108,739.69165,3.7049649,0.012417971,29.374945,31.737665,29.684727,33.21501
Kandri,21.409368527305187,79.28149875485946,0.1836,0.2066,0.211,0.3448,0.3689,0.2772,0.2407341,0.1189311427847079,1,Metamorphics,IND2497,338.3795,298.43054,426.02664,3.4002244,0.0,43.054794,34.156246,32.113777,35.585854
Balaghat,21.87272013479429,80.20737624815709,0.1912,0.2266,0.2444,0.3678,0.4388,0.3723,0.20156811,0.2359717131954976,1,Metamorphics,IND2497,315.88818,295.6509,563.0416,3.3144548,0.0,41.898067,31.532078,30.486078,32.70804
Munsar,21.40396000901309,79.3002732962538,0.1638,0.1908,0.1858,0.4292,0.3894,0.2707,0.39577234,2.151892752146056,0,Metamorphics,IND2497,330.61935,298.43054,426.02664,2.7755353,0.0,43.054794,34.265858,32.686935,35.39038
Dongri_Buzurg,21.533124864085053,79.67992160689674,0.1456,0.1643,0.1518,0.3888,0.2663,0.1817,0.43840176,2.789205232117036,0,Metamorphics,IND2480,334.0665,270.8272,418.0179,3.693927,0.0,42.639668,32.160763,30.868849,32.82424
Munsar,21.39955065742438,79.25788775475976,0.1452,0.1599,0.1407,0.4415,0.3172,0.2015,0.516661,0.2559890401853218,1,Metamorphics,IND2497,330.61935,298.43054,426.02664,2.7755353,0.0,43.054794,34.265858,32.686935,35.39038
Balaghat,21.83415878813325,80.22945692641937,0.186,0.2138,0.2442,0.349,0.4226,0.3533,0.17666891,0.4603679994152885,1,Metamorphics,IND2497,315.88818,295.6509,563.0416,3.3144548,0.0,41.898067,31.532078,30.486078,32.70804
